Field,Description,Analytical Category,
ID,Customer's unique identifier,Customer Identifier,
Year_Birth,Customer's birth year,Customer Demographics,
Education,Customer's education level,Customer Demographics,
Marital_Status,Customer's marital status,Customer Demographics,
Income ,Customer's yearly household income,Customer Demographics,
Kidhome,Number of children in customer's household,Household Information,
Teenhome,Number of teenagers in customer's household,Household Information,
Dt_Customer,Date of customer's enrollment with the company,Customer Information,
Recency,Number of days since customer's last purchase,Customer Engagement,
MntWines,Amount spent on wine in the last 2 years,Product Spending,
MntFruits,Amount spent on fruits in the last 2 years,Product Spending,
MntMeatProducts,Amount spent on meat in the last 2 years,Product Spending,
MntFishProducts,Amount spent on fish in the last 2 years,Product Spending,
MntSweetProducts,Amount spent on sweets in the last 2 years,Product Spending,
MntGoldProds,Amount spent on gold in the last 2 years,Product Spending,
NumDealsPurchases,Number of purchases made with a discount,Purchase Behaviour,
NumWebPurchases,Number of purchases made through the company's web site,Purchase Behaviour,
NumCatalogPurchases,Number of purchases made using a catalogue,Purchase Behaviour,
NumStorePurchases,Number of purchases made directly in stores,Purchase Behaviour,
NumWebVisitsMonth,Number of visits to company's web site in the last month,Digital Engagement,
AcceptedCmp3,"1 if customer accepted the offer in the 3rd campaign, 0 otherwise",Campaign Response,
AcceptedCmp4,"1 if customer accepted the offer in the 4th campaign, 0 otherwise",Campaign Response,
AcceptedCmp5,"1 if customer accepted the offer in the 5th campaign, 0 otherwise",Campaign Response,
AcceptedCmp1,"1 if customer accepted the offer in the 1st campaign, 0 otherwise",Campaign Response,
AcceptedCmp2,"1 if customer accepted the offer in the 2nd campaign, 0 otherwise",Campaign Response,
Response,"1 if customer accepted the offer in the last campaign, 0 otherwise",Customer Feedback,
Complain,"1 if customer complained in the last 2 years, 0 otherwise",Customer Feedback,
Country,Customer's location,Customer Demographics,
,,,
